ID,Date,Line Type,Amount,Currency,Payment reference,Description,Processor ID,Payout,Order ID
ad-fe-B2DSCVKMCX5MPK42,2023-07-20 19:17:40,FEE,-0.35,CAD,B2DSCVKMCX5MPK42,,fe-B2DSCVKMCX5MPK42,2710101971532977,60100
ad-MBQL6W9JHFWVMM42,2023-07-20 19:18:22,CREDIT,12.21,CAD,MBQL6W9JHFWVMM42,,MBQL6W9JHFWVMM42,2710101971532977,60102
ad-fe-MBQL6W9JHFWVMM42,2023-07-20 19:18:22,FEE,-0.32,CAD,MBQL6W9JHFWVMM42,,fe-MBQL6W9JHFWVMM42,2710101971532977,60102
ad-H262S7BB25H6SP42,2023-07-20 19:19:29,CREDIT,21.16,CAD,H262S7BB25H6SP42,,H262S7BB25H6SP42,2710101971532977,60103
ad-fe-H262S7BB25H6SP42,2023-07-20 19:19:29,FEE,-0.48,CAD,H262S7BB25H6SP42,,fe-H262S7BB25H6SP42,2710101971532977,60103
ad-KPH7H7XCK5RCRMG2,2023-07-20 19:19:49,CREDIT,21.16,CAD,KPH7H7XCK5RCRMG2,,KPH7H7XCK5RCRMG2,2710101971532977,60101
ad-fe-KPH7H7XCK5RCRMG2,2023-07-20 19:19:49,FEE,-0.1,CAD,KPH7H7XCK5RCRMG2,,fe-KPH7H7XCK5RCRMG2,2710101971532977,60101
ad-JRRRXBL4S5GQ4V42,2023-07-20 19:21:12,CREDIT,10.2,CAD,JRRRXBL4S5GQ4V42,,JRRRXBL4S5GQ4V42,2710101971532977,60104
ad-fe-JRRRXBL4S5GQ4V42,2023-07-20 19:21:12,FEE,-0.1,CAD,JRRRXBL4S5GQ4V42,,fe-JRRRXBL4S5GQ4V42,2710101971532977,60104
ad-JFM4S7NLTJZ8BV62,2023-07-20 19:21:40,CREDIT,10.58,CAD,JFM4S7NLTJZ8BV62,,JFM4S7NLTJZ8BV62,2710101971532977,60105
ad-fe-JFM4S7NLTJZ8BV62,2023-07-20 19:21:40,FEE,-0.1,CAD,JFM4S7NLTJZ8BV62,,fe-JFM4S7NLTJZ8BV62,2710101971532977,60105
ad-SNQ6NGJZZ7ZLPK42,2023-07-20 19:22:27,CREDIT,10.58,CAD,SNQ6NGJZZ7ZLPK42,,SNQ6NGJZZ7ZLPK42,2710101971532977,60106
ad-fe-SNQ6NGJZZ7ZLPK42,2023-07-20 19:22:27,FEE,-0.1,CAD,SNQ6NGJZZ7ZLPK42,,fe-SNQ6NGJZZ7ZLPK42,2710101971532977,60106
ad-VD6PWQQCWS7WTM42,2023-07-20 19:22:33,CREDIT,17.19,CAD,VD6PWQQCWS7WTM42,,VD6PWQQCWS7WTM42,2710101971532977,60107
ad-fe-VD6PWQQCWS7WTM42,2023-07-20 19:22:33,FEE,-0.41,CAD,VD6PWQQCWS7WTM42,,fe-VD6PWQQCWS7WTM42,2710101971532977,60107
ad-LHCR6J4HQNC84V62,2023-07-20 19:26:06,CREDIT,13.65,CAD,LHCR6J4HQNC84V62,,LHCR6J4HQNC84V62,2710101971532977,60108
ad-fe-LHCR6J4HQNC84V62,2023-07-20 19:26:06,FEE,-0.35,CAD,LHCR6J4HQNC84V62,,fe-LHCR6J4HQNC84V62,2710101971532977,60108
ad-JWLK4V7KXS8J8X62,2023-07-20 19:29:44,CREDIT,10.58,CAD,JWLK4V7KXS8J8X62,,JWLK4V7KXS8J8X62,2710101971532977,60110
ad-fe-JWLK4V7KXS8J8X62,2023-07-20 19:29:44,FEE,-0.1,CAD,JWLK4V7KXS8J8X62,,fe-JWLK4V7KXS8J8X62,2710101971532977,60110
ad-VHQCWS7JVD33FKG2,2023-07-20 19:30:52,CREDIT,9.25,CAD,VHQCWS7JVD33FKG2,,VHQCWS7JVD33FKG2,2710101971532977,60112
ad-fe-VHQCWS7JVD33FKG2,2023-07-20 19:30:52,FEE,-0.27,CAD,VHQCWS7JVD33FKG2,,fe-VHQCWS7JVD33FKG2,2710101971532977,60112
ad-LCRD4GNLTJZ8BV62,2023-07-20 19:34:34,CREDIT,26.45,CAD,LCRD4GNLTJZ8BV62,,LCRD4GNLTJZ8BV62,2710101971532977,60111
ad-fe-LCRD4GNLTJZ8BV62,2023-07-20 19:34:34,FEE,-0.1,CAD,LCRD4GNLTJZ8BV62,,fe-LCRD4GNLTJZ8BV62,2710101971532977,60111
ad-W2Z9KLL4S5GQ4V42,2023-07-20 19:36:45,CREDIT,13.22,CAD,W2Z9KLL4S5GQ4V42,,W2Z9KLL4S5GQ4V42,2710101971532977,60114
ad-fe-W2Z9KLL4S5GQ4V42,2023-07-20 19:36:45,FEE,-0.1,CAD,W2Z9KLL4S5GQ4V42,,fe-W2Z9KLL4S5GQ4V42,2710101971532977,60114
